Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
25-03-2020,Telengana,25,10,1,18.1124,79.0193,0,35
25-03-2020,Uttar Pradesh,36,1,11,26.8467,80.9462,0,37
25-03-2020,Uttarakhand,3,1,0,30.0668,79.0193,0,4
25-03-2020,West Bengal,9,0,0,22.9868,87.855,1,9
26-03-2020,Andaman and Nicobar Islands,1,0,0,11.7401,92.6586,0,1
26-03-2020,Andhra Pradesh,11,0,1,15.9129,79.74,0,11
26-03-2020,Bihar,6,0,0,25.0961,85.3131,1,6
26-03-2020,Chandigarh,7,0,0,30.7333,76.7794,0,7
26-03-2020,Chhattisgarh,6,0,0,21.2787,81.8661,0,6
26-03-2020,Delhi,35,1,6,28.7041,77.1025,1,36
26-03-2020,Goa,3,0,0,15.2993,74.124,0,3
26-03-2020,Gujarat,42,1,0,22.2587,71.1924,3,43
26-03-2020,Haryana,16,14,11,29.0588,76.0856,0,30
26-03-2020,Himachal Pradesh,3,0,0,31.1048,77.1734,1,3
26-03-2020,Jammu and Kashmir,13,0,1,33.7782,76.5762,1,13
26-03-2020,Karnataka,55,0,3,15.3173,75.7139,2,55
26-03-2020,Kerala,110,8,6,10.8505,76.2711,0,118
26-03-2020,Ladakh,13,0,0,34.2996,78.2932,0,13
26-03-2020,Madhya Pradesh,20,0,0,22.9734,78.6569,1,20
26-03-2020,Maharashtra,121,3,1,19.7515,75.7139,3,124
26-03-2020,Manipur,1,0,0,24.6637,93.9063,0,1
26-03-2020,Mizoram,1,0,0,23.1645,92.9376,0,1
26-03-2020,Odisha,2,0,0,20.9517,85.0985,0,2
26-03-2020,Puducherry,1,0,0,11.9416,79.8083,0,1
26-03-2020,Punjab,33,0,0,31.1471,75.3412,1,33
26-03-2020,Rajasthan,39,2,3,27.0238,74.2179,0,41
26-03-2020,Tamil Nadu,20,6,1,11.1271,78.6569,1,26
26-03-2020,Telengana,34,10,1,18.1124,79.0193,0,44
26-03-2020,Uttar Pradesh,40,1,11,26.8467,80.9462,0,41
26-03-2020,Uttarakhand,4,1,0,30.0668,79.0193,0,5
26-03-2020,West Bengal,10,0,0,22.9868,87.855,1,10
27-03-2020,Andaman and Nicobar Islands,1,0,0,11.7401,92.6586,0,1
27-03-2020,Andhra Pradesh,12,0,1,15.9129,79.74,0,12
27-03-2020,Bihar,6,0,0,25.0961,85.3131,1,6
27-03-2020,Chandigarh,7,0,0,30.7333,76.7794,0,7
27-03-2020,Chhattisgarh,6,0,0,21.2787,81.8661,0,6
27-03-2020,Delhi,35,1,6,28.7041,77.1025,1,36
27-03-2020,Goa,3,0,0,15.2993,74.124,0,3
27-03-2020,Gujarat,42,1,0,22.2587,71.1924,3,43
27-03-2020,Haryana,16,14,11,29.0588,76.0856,0,30
27-03-2020,Himachal Pradesh,3,0,0,31.1048,77.1734,1,3
27-03-2020,Jammu and Kashmir,13,0,1,33.7782,76.5762,1,13
27-03-2020,Karnataka,55,0,3,15.3173,75.7139,2,55
27-03-2020,Kerala,129,8,11,10.8505,76.2711,0,137
27-03-2020,Ladakh,13,0,3,34.2996,78.2932,0,13
27-03-2020,Madhya Pradesh,20,0,0,22.9734,78.6569,1,20
27-03-2020,Maharashtra,127,3,15,19.7515,75.7139,4,130
27-03-2020,Manipur,1,0,0,24.6637,93.9063,0,1
27-03-2020,Mizoram,1,0,0,23.1645,92.9376,0,1
27-03-2020,Odisha,2,0,0,20.9517,85.0985,0,2
27-03-2020,Puducherry,1,0,0,11.9416,79.8083,0,1
27-03-2020,Punjab,33,0,0,31.1471,75.3412,1,33
27-03-2020,Rajasthan,39,2,3,27.0238,74.2179,0,41
27-03-2020,Tamil Nadu,23,6,1,11.1271,78.6569,1,29
27-03-2020,Telengana,35,10,1,18.1124,79.0193,0,45
27-03-2020,Uttar Pradesh,40,1,11,26.8467,80.9462,0,41
27-03-2020,Uttarakhand,4,1,0,30.0668,79.0193,0,5
27-03-2020,West Bengal,10,0,0,22.9868,87.855,1,10
28-03-2020,Andaman and Nicobar Islands,6,0,0,11.7401,92.6586,0,6
28-03-2020,Andhra Pradesh,14,0,1,15.9129,79.74,0,14
28-03-2020,Bihar,9,0,0,25.0961,85.3131,1,9
28-03-2020,Chandigarh,8,0,0,30.7333,76.7794,0,8
28-03-2020,Chhattisgarh,6,0,0,21.2787,81.8661,0,6
28-03-2020,Delhi,38,1,6,28.7041,77.1025,1,39
28-03-2020,Goa,3,0,0,15.2993,74.124,0,3
28-03-2020,Gujarat,44,1,0,22.2587,71.1924,3,45
28-03-2020,Haryana,19,14,12,29.0588,76.0856,0,33
28-03-2020,Himachal Pradesh,3,0,0,31.1048,77.1734,1,3
28-03-2020,Jammu and Kashmir,20,0,1,33.7782,76.5762,1,20
28-03-2020,Karnataka,55,0,3,15.3173,75.7139,2,55
28-03-2020,Kerala,168,8,11,10.8505,76.2711,0,176
28-03-2020,Ladakh,13,0,3,34.2996,78.2932,0,13
28-03-2020,Madhya Pradesh,30,0,0,22.9734,78.6569,2,30
28-03-2020,Maharashtra,177,3,25,19.7515,75.7139,5,180
28-03-2020,Manipur,1,0,0,24.6637,93.9063,0,1
28-03-2020,Mizoram,1,0,0,23.1645,92.9376,0,1
28-03-2020,Odisha,3,0,0,20.9517,85.0985,0,3
28-03-2020,Puducherry,1,0,0,11.9416,79.8083,0,1
28-03-2020,Punjab,38,0,1,31.1471,75.3412,1,38
28-03-2020,Rajasthan,52,2,3,27.0238,74.2179,0,54
28-03-2020,Tamil Nadu,34,6,2,11.1271,78.6569,1,40
28-03-2020,Telengana,46,10,1,18.1124,79.0193,0,56
28-03-2020,Uttar Pradesh,54,1,11,26.8467,80.9462,0,55
28-03-2020,Uttarakhand,4,1,0,30.0668,79.0193,0,5
28-03-2020,West Bengal,15,0,0,22.9868,87.855,1,15
29-03-2020,Andaman and Nicobar Islands,9,0,0,11.7401,92.6586,0,9
29-03-2020,Andhra Pradesh,14,0,1,15.9129,79.74,0,14
29-03-2020,Bihar,9,0,0,25.0961,85.3131,1,9
29-03-2020,Chandigarh,8,0,0,30.7333,76.7794,0,8
29-03-2020,Chhattisgarh,6,0,0,21.2787,81.8661,0,6
29-03-2020,Delhi,38,1,6,28.7041,77.1025,2,39
29-03-2020,Goa,2,1,0,15.2993,74.124,0,3
29-03-2020,Gujarat,52,1,0,22.2587,71.1924,4,53
29-03-2020,Haryana,19,14,12,29.0588,76.0856,0,33
29-03-2020,Himachal Pradesh,3,0,0,31.1048,77.1734,1,3
29-03-2020,Jammu and Kashmir,31,0,1,33.7782,76.5762,1,31
29-03-2020,Karnataka,76,0,5,15.3173,75.7139,3,76
29-03-2020,Kerala,174,8,15,10.8505,76.2711,1,182
29-03-2020,Ladakh,13,0,3,34.2996,78.2932,0,13
29-03-2020,Madhya Pradesh,30,0,0,22.9734,78.6569,2,30
29-03-2020,Maharashtra,183,3,25,19.7515,75.7139,6,186
29-03-2020,Manipur,1,0,0,24.6637,93.9063,0,1
29-03-2020,Mizoram,1,0,0,23.1645,92.9376,0,1
29-03-2020,Odisha,3,0,0,20.9517,85.0985,0,3
29-03-2020,Puducherry,1,0,0,11.9416,79.8083,0,1
29-03-2020,Punjab,38,0,1,31.1471,75.3412,1,38
29-03-2020,Rajasthan,52,2,3,27.0238,74.2179,0,54
29-03-2020,Tamil Nadu,36,6,2,11.1271,78.6569,1,42
29-03-2020,Telengana,56,10,1,18.1124,79.0193,1,66
29-03-2020,Uttar Pradesh,54,1,11,26.8467,80.9462,0,55
29-03-2020,Uttarakhand,5,1,1,30.0668,79.0193,0,6
29-03-2020,West Bengal,18,0,0,22.9868,87.855,1,18
30-03-2020,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,9
30-03-2020,Andhra Pradesh,0,0,1,15.9129,79.74,0,19
30-03-2020,Bihar,0,0,0,25.0961,85.3131,1,11
30-03-2020,Chandigarh,0,0,0,30.7333,76.7794,0,8
30-03-2020,Chhattisgarh,0,0,0,21.2787,81.8661,0,7
30-03-2020,Delhi,0,0,6,28.7041,77.1025,2,53
30-03-2020,Goa,0,0,0,15.2993,74.124,0,5
30-03-2020,Gujarat,0,0,1,22.2587,71.1924,5,58
30-03-2020,Haryana,0,0,17,29.0588,76.0856,0,33
30-03-2020,Himachal Pradesh,0,0,0,31.1048,77.1734,1,3
30-03-2020,Jammu and Kashmir,0,0,1,33.7782,76.5762,2,31
30-03-2020,Karnataka,0,0,5,15.3173,75.7139,3,80
30-03-2020,Kerala,0,0,19,10.8505,76.2711,1,194
30-03-2020,Ladakh,0,0,3,34.2996,78.2932,0,13
30-03-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,2,33
30-03-2020,Maharashtra,0,0,25,19.7515,75.7139,8,193
30-03-2020,Manipur,0,0,0,24.6637,93.9063,0,1
30-03-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
30-03-2020,Odisha,0,0,0,20.9517,85.0985,0,3
30-03-2020,Puducherry,0,0,0,11.9416,79.8083,0,1
30-03-2020,Punjab,0,0,1,31.1471,75.3412,1,38
30-03-2020,Rajasthan,0,0,3,27.0238,74.2179,0,57
30-03-2020,Tamil Nadu,0,0,4,11.1271,78.6569,1,50
30-03-2020,Telengana,0,0,1,18.1124,79.0193,1,69
30-03-2020,Uttar Pradesh,0,0,11,26.8467,80.9462,0,75
30-03-2020,Uttarakhand,0,0,2,30.0668,79.0193,0,7
30-03-2020,West Bengal,0,0,0,22.9868,87.855,1,19
31-03-2020,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,10
31-03-2020,Andhra Pradesh,0,0,1,15.9129,79.74,0,40
31-03-2020,Bihar,0,0,0,25.0961,85.3131,1,15
31-03-2020,Chandigarh,0,0,0,30.7333,76.7794,0,13
31-03-2020,Chhattisgarh,0,0,0,21.2787,81.8661,0,8
31-03-2020,Delhi,0,0,6,28.7041,77.1025,2,97
31-03-2020,Goa,0,0,0,15.2993,74.124,0,5
31-03-2020,Gujarat,0,0,3,22.2587,71.1924,6,73
31-03-2020,Haryana,0,0,21,29.0588,76.0856,0,40
31-03-2020,Himachal Pradesh,0,0,0,31.1048,77.1734,1,3
31-03-2020,Jammu and Kashmir,0,0,2,33.7782,76.5762,2,54
31-03-2020,Karnataka,0,0,5,15.3173,75.7139,3,83
31-03-2020,Kerala,0,0,19,10.8505,76.2711,1,234
31-03-2020,Ladakh,0,0,3,34.2996,78.2932,0,13
31-03-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,3,47
31-03-2020,Maharashtra,0,0,39,19.7515,75.7139,9,216
31-03-2020,Manipur,0,0,0,24.6637,93.9063,0,1
31-03-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
31-03-2020,Odisha,0,0,0,20.9517,85.0985,0,3
31-03-2020,Puducherry,0,0,0,11.9416,79.8083,0,1
31-03-2020,Punjab,0,0,1,31.1471,75.3412,3,41
31-03-2020,Rajasthan,0,0,3,27.0238,74.2179,0,74
31-03-2020,Tamil Nadu,0,0,4,11.1271,78.6569,1,74
31-03-2020,Telengana,0,0,1,18.1124,79.0193,1,79
31-03-2020,Uttar Pradesh,0,0,14,26.8467,80.9462,0,101
31-03-2020,Uttarakhand,0,0,2,30.0668,79.0193,0,7
31-03-2020,West Bengal,0,0,0,22.9868,87.855,2,26
01-04-2020,Andaman and Nicobar Islands,0,0,1,11.7401,92.6586,0,10
01-04-2020,Andhra Pradesh,0,0,0,15.9129,79.74,0,83
01-04-2020,Assam,0,0,0,26.2006,92.9376,0,1
01-04-2020,Bihar,0,0,0,25.0961,85.3131,1,23
01-04-2020,Chandigarh,0,0,0,30.7333,76.7794,0,16
01-04-2020,Chhattisgarh,0,0,2,21.2787,81.8661,0,9
01-04-2020,Delhi,0,0,6,28.7041,77.1025,2,152
01-04-2020,Goa,0,0,0,15.2993,74.124,0,5
01-04-2020,Gujarat,0,0,5,22.2587,71.1924,6,82
01-04-2020,Haryana,0,0,21,29.0588,76.0856,0,43
01-04-2020,Himachal Pradesh,0,0,0,31.1048,77.1734,1,3
01-04-2020,Jammu and Kashmir,0,0,2,33.7782,76.5762,2,62
01-04-2020,Jharkhand,0,0,0,23.6102,85.2799,0,1
01-04-2020,Karnataka,0,0,8,15.3173,75.7139,3,101
01-04-2020,Kerala,0,0,23,10.8505,76.2711,2,241
01-04-2020,Ladakh,0,0,3,34.2996,78.2932,0,13
01-04-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,3,66
01-04-2020,Maharashtra,0,0,39,19.7515,75.7139,9,302
01-04-2020,Manipur,0,0,0,24.6637,93.9063,0,1
01-04-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
01-04-2020,Odisha,0,0,0,20.9517,85.0985,0,4
01-04-2020,Puducherry,0,0,1,11.9416,79.8083,0,3
01-04-2020,Punjab,0,0,1,31.1471,75.3412,3,42
01-04-2020,Rajasthan,0,0,3,27.0238,74.2179,0,93
01-04-2020,Tamil Nadu,0,0,6,11.1271,78.6569,1,234
01-04-2020,Telengana,0,0,1,18.1124,79.0193,3,96
01-04-2020,Uttar Pradesh,0,0,14,26.8467,80.9462,2,103
01-04-2020,Uttarakhand,0,0,2,30.0668,79.0193,0,7
02-04-2020,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,10
02-04-2020,Andhra Pradesh,0,0,1,15.9129,79.74,1,86
02-04-2020,Assam,0,0,0,26.2006,92.9376,0,1
02-04-2020,Bihar,0,0,0,25.0961,85.3131,1,23
02-04-2020,Chandigarh,0,0,0,30.7333,76.7794,0,16
02-04-2020,Chhattisgarh,0,0,2,21.2787,81.8661,0,9
02-04-2020,Delhi,0,0,6,28.7041,77.1025,2,152
02-04-2020,Goa,0,0,0,15.2993,74.124,0,5
02-04-2020,Gujarat,0,0,5,22.2587,71.1924,6,82
02-04-2020,Haryana,0,0,21,29.0588,76.0856,0,43
02-04-2020,Himachal Pradesh,0,0,1,31.1048,77.1734,1,3
02-04-2020,Jammu and Kashmir,0,0,2,33.7782,76.5762,2,62
02-04-2020,Jharkhand,0,0,0,23.6102,85.2799,0,1
02-04-2020,Karnataka,0,0,9,15.3173,75.7139,3,110
02-04-2020,Kerala,0,0,25,10.8505,76.2711,2,265
02-04-2020,Ladakh,0,0,3,34.2996,78.2932,0,13
02-04-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,6,99
02-04-2020,Maharashtra,0,0,42,19.7515,75.7139,13,335
02-04-2020,Manipur,0,0,0,24.6637,93.9063,0,1
02-04-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
02-04-2020,Odisha,0,0,0,20.9517,85.0985,0,4
02-04-2020,Puducherry,0,0,1,11.9416,79.8083,0,3
02-04-2020,Punjab,0,0,1,31.1471,75.3412,4,46
02-04-2020,Rajasthan,0,0,3,27.0238,74.2179,0,108
02-04-2020,Tamil Nadu,0,0,6,11.1271,78.6569,1,234
02-04-2020,Telengana,0,0,1,18.1124,79.0193,3,96
02-04-2020,Uttar Pradesh,0,0,14,26.8467,80.9462,2,113
02-04-2020,Uttarakhand,0,0,2,30.0668,79.0193,0,7
03-04-2020,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,10
03-04-2020,Andhra Pradesh,0,0,1,15.9129,79.74,1,132
03-04-2020,Arunachal Pradesh,0,0,0,28.218,94.7278,0,1
03-04-2020,Assam,0,0,0,26.2006,92.9376,0,16
03-04-2020,Bihar,0,0,0,25.0961,85.3131,1,24
03-04-2020,Chandigarh,0,0,0,30.7333,76.7794,0,18
03-04-2020,Chhattisgarh,0,0,2,21.2787,81.8661,0,9
03-04-2020,Delhi,0,0,8,28.7041,77.1025,4,219
03-04-2020,Goa,0,0,0,15.2993,74.124,0,6
03-04-2020,Gujarat,0,0,8,22.2587,71.1924,7,87
03-04-2020,Haryana,0,0,21,29.0588,76.0856,0,43
03-04-2020,Himachal Pradesh,0,0,1,31.1048,77.1734,1,6
03-04-2020,Jammu and Kashmir,0,0,3,33.7782,76.5762,2,70
03-04-2020,Jharkhand,0,0,0,23.6102,85.2799,0,2
03-04-2020,Karnataka,0,0,10,15.3173,75.7139,3,124
03-04-2020,Kerala,0,0,27,10.8505,76.2711,2,286
03-04-2020,Ladakh,0,0,3,34.2996,78.2932,0,14
03-04-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,6,99
03-04-2020,Maharashtra,0,0,42,19.7515,75.7139,16,335
03-04-2020,Manipur,0,0,0,24.6637,93.9063,0,2
03-04-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
03-04-2020,Odisha,0,0,0,20.9517,85.0985,0,5
03-04-2020,Puducherry,0,0,1,11.9416,79.8083,0,3
03-04-2020,Punjab,0,0,1,31.1471,75.3412,4,46
03-04-2020,Rajasthan,0,0,3,27.0238,74.2179,0,133
03-04-2020,Tamil Nadu,0,0,6,11.1271,78.6569,1,309
03-04-2020,Telengana,0,0,1,18.1124,79.0193,3,107
03-04-2020,Uttar Pradesh,0,0,14,26.8467,80.9462,2,113
03-04-2020,Uttarakhand,0,0,2,30.0668,79.0193,0,10
03-04-2020,West Bengal,0,0,3,22.9868,87.855,3,53
04-04-2020,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,10
04-04-2020,Andhra Pradesh,0,0,1,15.9129,79.74,1,161
04-04-2020,Arunachal Pradesh,0,0,0,28.218,94.7278,0,1
04-04-2020,Assam,0,0,0,26.2006,92.9376,0,24
04-04-2020,Bihar,0,0,0,25.0961,85.3131,1,29
04-04-2020,Chandigarh,0,0,0,30.7333,76.7794,0,18
04-04-2020,Chhattisgarh,0,0,3,21.2787,81.8661,0,9
04-04-2020,Delhi,0,0,8,28.7041,77.1025,6,386
04-04-2020,Goa,0,0,0,15.2993,74.124,0,6
04-04-2020,Gujarat,0,0,10,22.2587,71.1924,9,95
04-04-2020,Haryana,0,0,24,29.0588,76.0856,0,49
04-04-2020,Himachal Pradesh,0,0,1,31.1048,77.1734,1,6
04-04-2020,Jammu and Kashmir,0,0,3,33.7782,76.5762,2,75
04-04-2020,Jharkhand,0,0,0,23.6102,85.2799,0,2
04-04-2020,Karnataka,0,0,12,15.3173,75.7139,3,128
04-04-2020,Kerala,0,0,41,10.8505,76.2711,2,295
04-04-2020,Ladakh,0,0,3,34.2996,78.2932,0,14
04-04-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,6,104
04-04-2020,Maharashtra,0,0,42,19.7515,75.7139,19,423
04-04-2020,Manipur,0,0,0,24.6637,93.9063,0,2
04-04-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
04-04-2020,Odisha,0,0,0,20.9517,85.0985,0,5
04-04-2020,Puducherry,0,0,1,11.9416,79.8083,0,5
04-04-2020,Punjab,0,0,1,31.1471,75.3412,5,53
04-04-2020,Rajasthan,0,0,3,27.0238,74.2179,0,179
04-04-2020,Tamil Nadu,0,0,6,11.1271,78.6569,1,411
04-04-2020,Telengana,0,0,1,18.1124,79.0193,7,158
04-04-2020,Uttar Pradesh,0,0,19,26.8467,80.9462,2,174
04-04-2020,Uttarakhand,0,0,2,30.0668,79.0193,0,16
04-04-2020,West Bengal,0,0,3,22.9868,87.855,3,69
05-04-2020,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,10
05-04-2020,Andhra Pradesh,0,0,1,15.9129,79.74,1,161
05-04-2020,Arunachal Pradesh,0,0,0,28.218,94.7278,0,1
05-04-2020,Assam,0,0,0,26.2006,92.9376,0,24
05-04-2020,Bihar,0,0,0,25.0961,85.3131,1,30
05-04-2020,Chandigarh,0,0,0,30.7333,76.7794,0,18
05-04-2020,Chhattisgarh,0,0,3,21.2787,81.8661,0,9
05-04-2020,Delhi,0,0,15,28.7041,77.1025,6,445
05-04-2020,Goa,0,0,0,15.2993,74.124,0,7
05-04-2020,Gujarat,0,0,14,22.2587,71.1924,10,105
05-04-2020,Haryana,0,0,24,29.0588,76.0856,0,49
05-04-2020,Himachal Pradesh,0,0,1,31.1048,77.1734,1,6
05-04-2020,Jammu and Kashmir,0,0,4,33.7782,76.5762,2,92
05-04-2020,Jharkhand,0,0,0,23.6102,85.2799,0,2
05-04-2020,Karnataka,0,0,12,15.3173,75.7139,4,144
05-04-2020,Kerala,0,0,49,10.8505,76.2711,2,306
05-04-2020,Ladakh,0,0,10,34.2996,78.2932,0,14
05-04-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,6,104
05-04-2020,Maharashtra,0,0,42,19.7515,75.7139,24,490
05-04-2020,Manipur,0,0,0,24.6637,93.9063,0,2
05-04-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
05-04-2020,Odisha,0,0,0,20.9517,85.0985,0,20
05-04-2020,Puducherry,0,0,1,11.9416,79.8083,0,5
05-04-2020,Punjab,0,0,1,31.1471,75.3412,5,57
05-04-2020,Rajasthan,0,0,21,27.0238,74.2179,0,200
05-04-2020,Tamil Nadu,0,0,6,11.1271,78.6569,3,485
05-04-2020,Telengana,0,0,32,18.1124,79.0193,7,269
05-04-2020,Uttar Pradesh,0,0,19,26.8467,80.9462,2,227
05-04-2020,Uttarakhand,0,0,2,30.0668,79.0193,0,22
05-04-2020,West Bengal,0,0,10,22.9868,87.855,3,69
06-04-2020,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,10
06-04-2020,Andhra Pradesh,0,0,1,15.9129,79.74,3,226
06-04-2020,Arunachal Pradesh,0,0,0,28.218,94.7278,0,1
06-04-2020,Assam,0,0,0,26.2006,92.9376,0,26
06-04-2020,Bihar,0,0,0,25.0961,85.3131,1,30
06-04-2020,Chandigarh,0,0,0,30.7333,76.7794,0,18
06-04-2020,Chhattisgarh,0,0,3,21.2787,81.8661,0,9
06-04-2020,Delhi,0,0,18,28.7041,77.1025,7,503
06-04-2020,Goa,0,0,0,15.2993,74.124,0,7
06-04-2020,Gujarat,0,0,18,22.2587,71.1924,11,122
06-04-2020,Haryana,0,0,25,29.0588,76.0856,1,84
06-04-2020,Himachal Pradesh,0,0,1,31.1048,77.1734,1,13
06-04-2020,Jammu and Kashmir,0,0,4,33.7782,76.5762,2,106
06-04-2020,Jharkhand,0,0,0,23.6102,85.2799,0,3
06-04-2020,Karnataka,0,0,12,15.3173,75.7139,4,151
06-04-2020,Kerala,0,0,55,10.8505,76.2711,2,314
06-04-2020,Ladakh,0,0,10,34.2996,78.2932,0,14
06-04-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,9,165
06-04-2020,Maharashtra,0,0,42,19.7515,75.7139,45,690
06-04-2020,Manipur,0,0,0,24.6637,93.9063,0,2
06-04-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
06-04-2020,Odisha,0,0,2,20.9517,85.0985,0,21
06-04-2020,Puducherry,0,0,1,11.9416,79.8083,0,5
06-04-2020,Punjab,0,0,4,31.1471,75.3412,6,68
06-04-2020,Rajasthan,0,0,21,27.0238,74.2179,0,253
06-04-2020,Tamil Nadu,0,0,8,11.1271,78.6569,5,571
06-04-2020,Telengana,0,0,34,18.1124,79.0193,7,321
06-04-2020,Uttar Pradesh,0,0,19,26.8467,80.9462,2,227
06-04-2020,Uttarakhand,0,0,4,30.0668,79.0193,0,26
06-04-2020,West Bengal,0,0,10,22.9868,87.855,3,80
07-04-2020,Andaman and Nicobar Islands,0,0,0,11.7401,92.6586,0,10
07-04-2020,Andhra Pradesh,0,0,1,15.9129,79.74,3,266
07-04-2020,Arunachal Pradesh,0,0,0,28.218,94.7278,0,1
07-04-2020,Assam,0,0,0,26.2006,92.9376,0,26
07-04-2020,Bihar,0,0,0,25.0961,85.3131,1,32
07-04-2020,Chandigarh,0,0,0,30.7333,76.7794,0,18
07-04-2020,Chhattisgarh,0,0,8,21.2787,81.8661,0,10
07-04-2020,Delhi,0,0,19,28.7041,77.1025,7,523
07-04-2020,Goa,0,0,0,15.2993,74.124,0,7
07-04-2020,Gujarat,0,0,22,22.2587,71.1924,12,144
07-04-2020,Haryana,0,0,25,29.0588,76.0856,1,90
07-04-2020,Himachal Pradesh,0,0,2,31.1048,77.1734,1,13
07-04-2020,Jammu and Kashmir,0,0,4,33.7782,76.5762,2,109
07-04-2020,Jharkhand,0,0,0,23.6102,85.2799,0,4
07-04-2020,Karnataka,0,0,12,15.3173,75.7139,4,151
07-04-2020,Kerala,0,0,58,10.8505,76.2711,2,327
07-04-2020,Ladakh,0,0,10,34.2996,78.2932,0,14
07-04-2020,Madhya Pradesh,0,0,0,22.9734,78.6569,9,165
07-04-2020,Maharashtra,0,0,56,19.7515,75.7139,45,748
07-04-2020,Manipur,0,0,0,24.6637,93.9063,0,2
07-04-2020,Mizoram,0,0,0,23.1645,92.9376,0,1
07-04-2020,Odisha,0,0,2,20.9517,85.0985,0,21
